UNIVERSIDAD EAFIT	Colombia	6.199733	-75.578686	8	1										
UNIVERSIDAD NACIONAL DE COLOMBIA	Colombia	4.635556	-74.082778	7	0										
UNIVERSIDAD PONTIFICIA BOLIVARIANA	Colombia	7.037801	-73.071785	5	0										
ISTITUTO SUPERIORE COREANO DI SCIENZA E TECNOLOGIA (KAIST)	South Korea	0	0	11	7										
UNIVERSIDAD VERITAS	Costa Rica	0	0	1	0										
SVEUCILISTE U SPLITU	Croatia	0	0	2	0										
UNIVERSITA' DI ZAGABRIA	Croatia	45.81057	15.969802	10	0										
AALBORG UNIVERSITET	Denmark	57.015	9.985	7	7										
ARKITEKTSKOLEN AARHUS	Denmark	56.161335	10.212473	2	2										
DANMARKS TEKNISKE UNIVERSITET	Denmark	55.785797	12.521533	3	11										
VIA UNIVERSITY COLLEGE	Denmark	0	0	4	3										
UNIVERSIDAD CENTRAL DE ECUADOR	Ecuador	-0.200436	-78.505027	6	2										
UNIVERSIDAD SAN FRANCISCO DE QUITO	Ecuador	-0.196656	-78.43576	2	0										
EESTI KUNSTIAKADEEMIA	Estonia	59.435097	24.75855	2	0										
MOSCOW STATE TECHNICAL UNIVERSITY OF RADIO ENGINEERING (MIREA)	Russia	55.67105	37.481017	28	0										
ROSTOV STATE UNIVERSITY OF ECONOMICS	Russia	0	0	1	0										
UNIVERSITA' STATALE POLITECNICA DI SAN PIETROBURGO	Russia	0	0	1	1										
AALTO YLIOPISTO	Finland	60.186111	24.828611	5	14										
HELSINKI UNIVERSITY OF TECHNOLOGY	Finland	60.171329	24.924394	3	3										
KYMENLAAKSON AMMATTIKORKEAKOULU	Finland	60.487946	26.893252	4	3										
LAHDEN AMMATTIKORKEAKOULU	Finland	60.872986	26.680335	7	4										
LAPIN YLIOPISTO	Finland	66.485863	25.715528	2	9										
TAMPERE UNIVERSITY OF TECHNOLOGY	Finland	61.449444	23.86	1	8										
ECOLE CAMONDO	France	0	0	2	0										
ECOLE CENTRALE DE LILLE	France	50.606389	3.136389	14	4										
ECOLE CENTRALE DE LYON	France	45.783056	4.769444	11	3										
ECOLE CENTRALE DE NANTES	France	47.248611	-1.548056	13	3										
ECOLE CENTRALE MARSEILLE	France	43.341389	5.438056	12	0										
ECOLE CENTRALE PARIS	France	48.7658	2.2884	21	15										
ECOLE D'ARCHITECTURE DE BRETAGNE	France	0	0	2	4										
ECOLE D'ARCHITECTURE DE GRENOBLE	France	48.895854	2.381307	3	5										
ECOLE D'ARCHITECTURE DE PARIS BELLEVILLE	France	48.856608	2.334618	2	4										
ECOLE D'ARCHITECTURE DE TOULOUSE	France	0	0	1	3										
ECOLE D'ARCHITECTURE DU LANGUEDOC ROUSSILLON	France	43.635644	3.841266	4	0										
ECOLE D'ARCHITECTURE PARIS-VAL DE SEINE	France	48.901339	2.388863	5	5										
ECOLE DE DESIGN NANTES ATLANTIQUE	France	47.283297	-1.518301	6	3										
ECOLE DES BEAUX-ARTS DE BORDEAUX	France	44.831111	-0.561111	4	2										
ECOLE DES INGENIEURS DE LA VILLE DE PARIS	France	48.841427	2.347206	3	2										
ECOLE NATIONALE DES PONTS ET CHAUSSEES	France	48.841111	2.587778	6	12										
ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE NORMANDIE	France	0	0	4	2										
ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE LYON	France	45.779913	4.923644	14	10										
ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE MARSEILLE	France	43.334502	5.411003	2	0										
ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE NANTES	France	47.207498	-1.557121	3	3										
ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE PARIS LA VILLETTE	France	48.893611	2.381111	3	4										
ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE SAINT-ETIENNE	France	0	0	3	1										
ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE VERSAILLES	France	48.801944	2.126944	4	3										
ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE ET DE PAYSAGE DE BORDEAUX	France	44.795661	-0.603398	5	4										
ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE ET DE PAYSAGE DE LILLE	France	50.620596	3.127689	4	3										
ECOLE NATIONALE SUPERIEURE D'ARTS ET METIERS	France	48.958701	4.366949	8	0										
ECOLE NATIONALE SUPERIEURE DE CREATION INDUSTRIELLE - LES ATELIERS	France	48.858378	2.369298	4	4										
ECOLE NATIONALE SUPERIEURE DE L'AERONATIQUE ET DE L'ESPACE	France	0	0	2	13										
ECOLE NATIONALE SUPERIEURE DE TECHNIQUES AVANCEES	France	48.834246	2.283331	2	4										
ECOLE NATIONALE SUPERIEURE DE TECHNIQUES AVANCEES (ENSTA BRETAGNE)	France	0	0	6	0										
ECOLE NATIONALE SUPERIEURE DES TECHNIQUES INDUSTRIELLES ET DES MINES DE NANTES	France	50.375784	3.067178	3	0										
ECOLE NATIONALE SUPERIEURE DES TELECOMMUNICATIONS DE BRETAGNE	France	48.359167	-4.57	1	1										
ECOLE SPECIALE DES TRAVEAUX PUBLICS DU BATIMENT ET DE L'INDUSTRIE	France	48.793443	2.330409	10	9										
ECOLE SUPERIEURE D'ARCHITECTURE INTERIEURE DE LYON (ESAIL)	France	45.755797	4.843626	3	0										
ECOLE SUPERIEURE D'ART ET DESIGN DE SAINT-ETIENNE	France	0	0	2	2										
ECOLE SUPERIEURE D'ARTS APPLIQUES BOULLE	France	48.84679	2.391513	2	2										
ECOLE SUPERIEURE D'ARTS GRAPHIQUES ET D'ARCHITECTURE INTERIEURE	France	33.595353	-7.615869	3	3										
ECOLE SUPERIEURE DE COMMERCE DE REIMS	France	49.238461	4.003302	3	6										
ECOLE SUPERIEURE D'ELECTRICITE	France	48.708677	2.163996	3	10										
ECOLE SUPERIEURE DES ARTS APPLIQUEES ET DU TEXTILE ROUBAIX	France	0	0	1	2										
ECOLE SUPERIEURE DES ARTS APPLIQUES DUPERRE	France	48.84679	2.391513	2	2										
ECOLE SUPERIEURE DES TECHNIQUES AERONATIQUES ET DE CONSTRUCTION AUTOMOBILE	France	48.894001	2.299074	4	0										
ECOLES DES MINES D'ALBI	France	43.922466	2.178978	3	0										
GROUPE EUROMED MANAGEMENT	France	43.306589	5.367219	4	0										
ICAM INSTITUT CATHOLIQUE D'ARTS ET METIERS	France	47.275527	-1.505312	8	0										
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE RENNES	France	45.782961	4.875031	12	3										
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE STRASBOURG	France	48.581772	7.764783	3	0										
INSTITUT SUPERIEUR DE TECHNOLOGIE ET MANAGEMENT	France	33.586881	-7.618739	9	1										
STRATE COLLEGE DESIGNERS	France	0	0	4	2										
UNIVERSITA' PARIS-EST MARNE LA VALLEE	France	48.839217	2.587063	2	3										
UNIVERSITE CATHOLIQUE DE LILLE	France	50.633333	3.046111	5	0										
UNIVERSITE DE LORRAINE	France	49.120792	6.161355	1	2										
UNIVERSITE DE TECHNOLOGIE DE COMPIEGNE	France	49.400278	2.799722	9	1										
UNIVERSITE DE TECHNOLOGIE DE TROYES	France	48.269155	4.067087	4	1										
UNIVERSITE DE VALENCIENNES ET DU HAINAUT-CAMBRESIS	France	50.293677	3.807206	2	0										
UNIVERSITE FRANCOIS RABELAIS (TOURS)	France	47.35633	0.70312	2	1										
UNIVERSITE' LUMIERE (LYON 2)	France	45.750833	4.837222	3	4										
UNIVERSITE PARIS-EST CRETEIL VAL DE MARNE	France	48.788139	2.445902	2	3										
UNIVERSITE PIERRE MENDES FRANCE	France	45.189722	5.771111	2	2										
BAUHAUS UNIVERSITAT WEIMAR	Germany	50.974444	11.328333	3	8										
BRANDENBURGISCHEN TECHNISCHEN UNIVERSITAT COTTBUS	Germany	51.76699	14.326633	3	0										
BURG GIEBICHENSTEIN KUNSTHOCHSCHULE HALLE	Germany	51.50239	11.95703	3	1										
FACHHOCHSCHULE DORTMUND	Germany	51.4925	7.414167	3	1										
FACHHOCHSCHULE DUSSELDORF - UNIVERSITY OF APPLIED SCIENCES	Germany	51.190485	6.791911	1	0										
FACHHOCHSCHULE MUNSTER	Germany	51.961	7.60809	2	0										
FACHHOCHSCHULE POTSDAM	Germany	52.414656	13.047054	4	8										
HAFENCITY UNIVERSITÄT HAMBURG	Germany	53.607867	10.029448	4	13										
HOCHSCHULE BOCHUM	Germany	51.44789	7.27162	1	0										
HOCHSCHULE FÜR ANGEWANDTE WISSENSCHAFTEN FH INGOLSTADT	Germany	0	0	1	6										
HOCHSCHULE FUR GESTALTUNG SCHWABISCH GMUND	Germany	48.78881	9.75693	4	2										
HOCHSCHULE HANNOVER	Germany	52.382214	9.717728	3	13										
RHEINISCH-WESTFALISCHE TECHNISCHE HOCHSCHULE AACHEN	Germany	50.777778	6.078056	9	18										
TECHNISCHE UNIVERSITAT HAMBURG-HARBURG	Germany	53.460833	9.969444	2	5										
TECHNISCHE UNIVERSITAT KAISERSLAUTERN	Germany	49.42377	7.75511	6	0										
TECHNISCHE UNIVERSITAT MUNCHEN	Germany	48.148056	11.568056	22	33										
